student_id,test_name,test_code,first_score,2,last_score,n_attempt,n_attempt_pass,ever_pass,state_passing_score,first_test_date,last_test_date
199065,0113 Music: Content Knowledge,113,164,NA,164,1,1,1,148,2012-04-28T00:00:00Z,2012-04-28
220894,0622 Principles of Learn & Teaching: Grades K-6,622,164,NA,164,1,1,1,154,2012-04-28T00:00:00Z,2012-04-28
137685,0622 Principles of Learn & Teaching: Grades K-6,622,165,NA,165,1,1,1,154,2012-04-28T00:00:00Z,2012-04-28
172321,0134 Art: Content Knowledge,134,165,NA,165,1,1,1,151,2012-04-28T00:00:00Z,2012-04-28
17595,0941 World and US History: Content Knowledge,941,166,NA,166,1,1,1,141,2012-04-28T00:00:00Z,2012-04-28
138224,0014 Elem Ed: Content Knowledge,14,166,NA,166,1,1,1,143,2012-04-28T00:00:00Z,2012-04-28
168965,0622 Principles of Learn & Teaching: Grades K-6,622,166,NA,166,1,1,1,154,2012-04-28T00:00:00Z,2012-04-28
170528,0622 Principles of Learn & Teaching: Grades K-6,622,166,NA,166,1,1,1,154,2012-04-28T00:00:00Z,2012-04-28
171031,0121 Family and Consumer Sciences,121,166,NA,166,1,1,1,157,2012-04-28T00:00:00Z,2012-04-28
210167,0730 PPST Mathematics,730,166,NA,166,1,NA,NA,NA,2012-04-28T00:00:00Z,2012-04-28
236446,0361 English to Speakers of Other Languages,361,167,NA,167,1,1,1,151,2012-04-28T00:00:00Z,2012-04-28
49898,0041 English LLC: Content Knowledge,41,168,NA,168,1,1,1,158,2012-04-28T00:00:00Z,2012-04-28
168965,0014 Elem Ed: Content Knowledge,14,168,NA,168,1,1,1,143,2012-04-28T00:00:00Z,2012-04-28
184393,0113 Music: Content Knowledge,113,168,NA,168,1,1,1,148,2012-04-28T00:00:00Z,2012-04-28
27518,0014 Elem Ed: Content Knowledge,14,169,NA,169,1,1,1,143,2012-04-28T00:00:00Z,2012-04-28
130747,0014 Elem Ed: Content Knowledge,14,169,NA,169,1,1,1,143,2012-04-28T00:00:00Z,2012-04-28
137394,0041 English LLC: Content Knowledge,41,169,NA,169,1,1,1,158,2012-04-28T00:00:00Z,2012-04-28
166684,0921 Geography,921,169,NA,169,1,1,1,153,2012-04-28T00:00:00Z,2012-04-28
177395,0121 Family and Consumer Sciences,121,169,NA,169,1,1,1,157,2012-04-28T00:00:00Z,2012-04-28
235006,0113 Music: Content Knowledge,113,169,NA,169,1,1,1,148,2012-04-28T00:00:00Z,2012-04-28
1830,0061 Mathematics: Content Knowledge,61,170,NA,170,1,1,1,129,2012-04-28T00:00:00Z,2012-04-28
113869,0014 Elem Ed: Content Knowledge,14,170,NA,170,1,1,1,143,2012-04-28T00:00:00Z,2012-04-28
131014,0134 Art: Content Knowledge,134,170,NA,170,1,1,1,151,2012-04-28T00:00:00Z,2012-04-28
146669,0014 Elem Ed: Content Knowledge,14,170,NA,170,1,1,1,143,2012-04-28T00:00:00Z,2012-04-28
163036,0041 English LLC: Content Knowledge,41,170,NA,170,1,1,1,158,2012-04-28T00:00:00Z,2012-04-28
187532,0622 Principles of Learn & Teaching: Grades K-6,622,170,NA,170,1,1,1,154,2012-04-28T00:00:00Z,2012-04-28
187800,0014 Elem Ed: Content Knowledge,14,170,NA,170,1,1,1,143,2012-04-28T00:00:00Z,2012-04-28
197045,0522 Principles of Learning Teaching: Grades K-6,522,170,NA,170,1,NA,NA,NA,2012-04-28T00:00:00Z,2012-04-28
167717,0941 World and US History: Content Knowledge,941,171,NA,171,1,1,1,141,2012-04-28T00:00:00Z,2012-04-28
188297,0622 Principles of Learn & Teaching: Grades K-6,622,171,NA,171,1,1,1,154,2012-04-28T00:00:00Z,2012-04-28
10579,0113 Music: Content Knowledge,113,172,NA,172,1,1,1,148,2012-04-28T00:00:00Z,2012-04-28
13710,0081 Social Studies: Content Knowledge,81,172,NA,172,1,1,1,150,2012-04-28T00:00:00Z,2012-04-28
93817,0014 Elem Ed: Content Knowledge,14,172,NA,172,1,1,1,143,2012-04-28T00:00:00Z,2012-04-28
126999,0235 Biology: Content Knowledge,235,172,NA,172,1,1,1,139,2012-04-28T00:00:00Z,2012-04-28
146756,0622 Principles of Learn & Teaching: Grades K-6,622,172,NA,172,1,1,1,154,2012-04-28T00:00:00Z,2012-04-28
198370,0622 Principles of Learn & Teaching: Grades K-6,622,172,NA,172,1,1,1,154,2012-04-28T00:00:00Z,2012-04-28
222548,0622 Principles of Learn & Teaching: Grades K-6,622,172,NA,172,1,1,1,154,2012-04-28T00:00:00Z,2012-04-28
222755,0113 Music: Content Knowledge,113,172,NA,172,1,1,1,148,2012-04-28T00:00:00Z,2012-04-28
25558,0041 English LLC: Content Knowledge,41,173,NA,173,1,1,1,158,2012-04-28T00:00:00Z,2012-04-28
129088,0941 World and US History: Content Knowledge,941,173,NA,173,1,1,1,141,2012-04-28T00:00:00Z,2012-04-28
142609,0113 Music: Content Knowledge,113,173,NA,173,1,1,1,148,2012-04-28T00:00:00Z,2012-04-28
146669,0622 Principles of Learn & Teaching: Grades K-6,622,173,NA,173,1,1,1,154,2012-04-28T00:00:00Z,2012-04-28
185143,0941 World and US History: Content Knowledge,941,173,NA,173,1,1,1,141,2012-04-28T00:00:00Z,2012-04-28
199617,0941 World and US History: Content Knowledge,941,173,NA,173,1,1,1,141,2012-04-28T00:00:00Z,2012-04-28
121949,0121 Family and Consumer Sciences,121,174,NA,174,1,1,1,157,2012-04-28T00:00:00Z,2012-04-28
128034,0941 World and US History: Content Knowledge,941,174,NA,174,1,1,1,141,2012-04-28T00:00:00Z,2012-04-28
141005,0113 Music: Content Knowledge,113,174,NA,174,1,1,1,148,2012-04-28T00:00:00Z,2012-04-28
179873,0041 English LLC: Content Knowledge,41,174,NA,174,1,1,1,158,2012-04-28T00:00:00Z,2012-04-28
212052,0041 English LLC: Content Knowledge,41,174,NA,174,1,1,1,158,2012-04-28T00:00:00Z,2012-04-28
143047,0091 Physical Education: Content Knowledge,91,175,NA,175,1,1,1,143,2012-04-28T00:00:00Z,2012-04-28
163932,0134 Art: Content Knowledge,134,175,NA,175,1,1,1,151,2012-04-28T00:00:00Z,2012-04-28
164715,0014 Elem Ed: Content Knowledge,14,175,NA,175,1,1,1,143,2012-04-28T00:00:00Z,2012-04-28
167717,0571 Earth and Space Sciences: Content Knowledge,571,175,NA,175,1,1,1,144,2012-04-28T00:00:00Z,2012-04-28
168630,0622 Principles of Learn & Teaching: Grades K-6,622,175,NA,175,1,1,1,154,2012-04-28T00:00:00Z,2012-04-28
177848,0014 Elem Ed: Content Knowledge,14,175,NA,175,1,1,1,143,2012-04-28T00:00:00Z,2012-04-28
100263,0481 Physical Science: Content Knowledge,481,176,NA,176,1,1,1,145,2012-04-28T00:00:00Z,2012-04-28
172321,0041 English LLC: Content Knowledge,41,176,NA,176,1,1,1,158,2012-04-28T00:00:00Z,2012-04-28
210167,0710 PPST Reading,710,176,NA,176,1,NA,NA,NA,2012-04-28T00:00:00Z,2012-04-28
113869,0622 Principles of Learn & Teaching: Grades K-6,622,177,NA,177,1,1,1,154,2012-04-28T00:00:00Z,2012-04-28
119745,0014 Elem Ed: Content Knowledge,14,177,NA,177,1,1,1,143,2012-04-28T00:00:00Z,2012-04-28
129963,0624 Principles of Learn & Teaching: Grades 7-12,624,177,NA,177,1,NA,NA,NA,2012-04-28T00:00:00Z,2012-04-28
135599,0134 Art: Content Knowledge,134,177,NA,177,1,1,1,151,2012-04-28T00:00:00Z,2012-04-28
198370,0014 Elem Ed: Content Knowledge,14,177,NA,177,1,1,1,143,2012-04-28T00:00:00Z,2012-04-28
231413,0014 Elem Ed: Content Knowledge,14,177,NA,177,1,1,1,143,2012-04-28T00:00:00Z,2012-04-28
232891,0113 Music: Content Knowledge,113,177,NA,177,1,1,1,148,2012-04-28T00:00:00Z,2012-04-28
37550,0571 Earth and Space Sciences: Content Knowledge,571,178,NA,178,1,1,1,144,2012-04-28T00:00:00Z,2012-04-28
67557,0134 Art: Content Knowledge,134,178,NA,178,1,1,1,151,2012-04-28T00:00:00Z,2012-04-28
182225,0622 Principles of Learn & Teaching: Grades K-6,622,178,NA,178,1,1,1,154,2012-04-28T00:00:00Z,2012-04-28
182225,0014 Elem Ed: Content Knowledge,14,178,NA,178,1,1,1,143,2012-04-28T00:00:00Z,2012-04-28
198335,0021 Education of Young Children,21,178,NA,178,1,1,1,169,2012-04-28T00:00:00Z,2012-04-28
210167,0720 PPST Writing,720,178,NA,178,1,NA,NA,NA,2012-04-28T00:00:00Z,2012-04-28
235956,0622 Principles of Learn & Teaching: Grades K-6,622,178,NA,178,1,1,1,154,2012-04-28T00:00:00Z,2012-04-28
65231,0622 Principles of Learn & Teaching: Grades K-6,622,180,NA,180,1,1,1,154,2012-04-28T00:00:00Z,2012-04-28
108517,0021 Education of Young Children,21,180,NA,180,1,1,1,169,2012-04-28T00:00:00Z,2012-04-28
119745,0622 Principles of Learn & Teaching: Grades K-6,622,180,NA,180,1,1,1,154,2012-04-28T00:00:00Z,2012-04-28
129338,0941 World and US History: Content Knowledge,941,180,NA,180,1,1,1,141,2012-04-28T00:00:00Z,2012-04-28
156885,0061 Mathematics: Content Knowledge,61,180,NA,180,1,1,1,129,2012-04-28T00:00:00Z,2012-04-28
180310,0014 Elem Ed: Content Knowledge,14,180,NA,180,1,1,1,143,2012-04-28T00:00:00Z,2012-04-28
122148,0113 Music: Content Knowledge,113,181,NA,181,1,1,1,148,2012-04-28T00:00:00Z,2012-04-28
161454,0235 Biology: Content Knowledge,235,181,NA,181,1,1,1,139,2012-04-28T00:00:00Z,2012-04-28
231413,0622 Principles of Learn & Teaching: Grades K-6,622,181,NA,181,1,1,1,154,2012-04-28T00:00:00Z,2012-04-28
122983,0134 Art: Content Knowledge,134,182,NA,182,1,1,1,151,2012-04-28T00:00:00Z,2012-04-28
128034,0041 English LLC: Content Knowledge,41,182,NA,182,1,1,1,158,2012-04-28T00:00:00Z,2012-04-28
130747,0622 Principles of Learn & Teaching: Grades K-6,622,182,NA,182,1,1,1,154,2012-04-28T00:00:00Z,2012-04-28
219179,0041 English LLC: Content Knowledge,41,182,NA,182,1,1,1,158,2012-04-28T00:00:00Z,2012-04-28
100437,0021 Education of Young Children,21,183,NA,183,1,1,1,169,2012-04-28T00:00:00Z,2012-04-28
143026,0014 Elem Ed: Content Knowledge,14,183,NA,183,1,1,1,143,2012-04-28T00:00:00Z,2012-04-28
143026,0622 Principles of Learn & Teaching: Grades K-6,622,183,NA,183,1,1,1,154,2012-04-28T00:00:00Z,2012-04-28
164715,0622 Principles of Learn & Teaching: Grades K-6,622,183,NA,183,1,1,1,154,2012-04-28T00:00:00Z,2012-04-28
177848,0622 Principles of Learn & Teaching: Grades K-6,622,183,NA,183,1,1,1,154,2012-04-28T00:00:00Z,2012-04-28
187532,0014 Elem Ed: Content Knowledge,14,183,NA,183,1,1,1,143,2012-04-28T00:00:00Z,2012-04-28
191364,0061 Mathematics: Content Knowledge,61,183,NA,183,1,1,1,129,2012-04-28T00:00:00Z,2012-04-28
217933,0021 Education of Young Children,21,183,NA,183,1,1,1,169,2012-04-28T00:00:00Z,2012-04-28
6608,0121 Family and Consumer Sciences,121,184,NA,184,1,1,1,157,2012-04-28T00:00:00Z,2012-04-28
